,Loan_ID,Loan_Status,Gender,Married,Locality,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area
0,LP001996,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,20233,0,480,360,1,Rural
1,LP002191,N,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,19730,5266,570,360,1,Rural
2,LP002699,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,Yes,17500,0,400,360,1,Rural
3,LP002527,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,Yes,16525,1014,150,360,1,Rural
4,LP002065,Y,Male,Yes,"Qureshi Square, New Delhi",3,Graduate,No,15000,0,300,360,1,Rural
5,LP001859,N,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,14683,2100,304,360,1,Rural
6,LP001401,Y,Male,Yes,"Qureshi Square, New Delhi",1,Graduate,No,14583,0,185,180,1,Rural
7,LP001100,N,Male,No,"Qureshi Square, New Delhi",3,Graduate,No,12500,3000,320,360,1,Rural
8,LP001519,N,Female,No,"Qureshi Square, New Delhi",0,Graduate,No,10000,1666,225,360,1,Rural
9,LP002050,N,Male,Yes,"Qureshi Square, New Delhi",1,Graduate,Yes,10000,0,155,360,1,Rural
10,LP002945,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,Yes,9963,0,180,360,1,Rural
11,LP001935,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,9508,0,187,360,1,Rural
12,LP002262,Y,Male,Yes,"Qureshi Square, New Delhi",3,Graduate,No,9504,0,275,360,1,Rural
13,LP001647,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,9328,0,188,180,1,Rural
14,LP002201,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,Yes,9323,7873,380,300,1,Rural
15,LP002255,Y,Male,No,"Qureshi Square, New Delhi",3,Graduate,No,9167,0,185,360,1,Rural
16,LP002140,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,8750,4167,308,360,1,Rural
17,LP002219,Y,Male,Yes,"Qureshi Square, New Delhi",3,Graduate,No,8750,4996,130,360,1,Rural
18,LP002067,N,Male,Yes,"Qureshi Square, New Delhi",1,Graduate,Yes,8666,4983,376,360,0,Rural
19,LP001666,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,8333,3750,187,360,1,Rural
20,LP002149,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,No,8333,3167,165,360,1,Rural
21,LP002693,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,Yes,7948,7166,480,360,1,Rural
22,LP002409,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,7901,1833,180,360,1,Rural
23,LP002301,N,Female,No,"Qureshi Square, New Delhi",0,Graduate,Yes,7441,0,194,360,1,Rural
24,LP001871,Y,Female,No,"Qureshi Square, New Delhi",0,Graduate,No,7200,0,120,360,1,Rural
25,LP002407,Y,Female,Yes,"Qureshi Square, New Delhi",0,Not Graduate,Yes,7142,0,138,360,1,Rural
26,LP002180,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,Yes,6822,0,141,360,1,Rural
27,LP002379,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,6500,0,105,360,0,Rural
28,LP002740,Y,Male,Yes,"Qureshi Square, New Delhi",3,Graduate,No,6417,0,157,180,1,Rural
29,LP001761,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,Yes,6400,0,200,360,1,Rural
30,LP002941,N,Male,Yes,"Qureshi Square, New Delhi",2,Not Graduate,Yes,6383,1000,187,360,1,Rural
31,LP002602,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,6283,4416,209,360,0,Rural
32,LP001528,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,6277,0,118,360,0,Rural
33,LP001807,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,Yes,6250,1300,108,360,1,Rural
34,LP002181,N,Male,No,"Qureshi Square, New Delhi",0,Not Graduate,No,6216,0,133,360,1,Rural
35,LP002328,N,Male,Yes,"Qureshi Square, New Delhi",0,Not Graduate,No,6096,0,218,360,0,Rural
36,LP001849,N,Male,No,"Qureshi Square, New Delhi",0,Not Graduate,No,6045,0,115,360,0,Rural
37,LP002494,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,6000,0,140,360,1,Rural
38,LP002820,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,5923,2054,211,360,1,Rural
39,LP002348,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,5829,0,138,360,1,Rural
40,LP001798,Y,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,No,5819,5000,120,360,1,Rural
41,LP002652,N,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,5815,3666,311,360,1,Rural
42,LP001715,Y,Male,Yes,"Qureshi Square, New Delhi",3,Not Graduate,Yes,5703,0,130,360,1,Rural
43,LP002692,Y,Male,Yes,"Qureshi Square, New Delhi",3,Graduate,Yes,5677,1424,100,360,1,Rural
44,LP001421,N,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,5568,2142,175,360,1,Rural
45,LP002524,Y,Male,No,"Qureshi Square, New Delhi",2,Graduate,No,5532,4648,162,360,1,Rural
46,LP001784,Y,Male,Yes,"Qureshi Square, New Delhi",1,Graduate,No,5500,1260,170,360,1,Rural
47,LP002142,N,Female,Yes,"Qureshi Square, New Delhi",0,Graduate,Yes,5500,0,105,360,0,Rural
48,LP002250,Y,Male,Yes,"Qureshi Square, New Delhi",0,Graduate,No,5488,0,125,360,1,Rural
49,LP001497,N,Male,Yes,"Qureshi Square, New Delhi",2,Graduate,No,5042,2083,185,360,1,Rural
50,LP001955,N,Female,No,"Qureshi Square, New Delhi",0,Graduate,No,5000,2541,151,480,1,Rural
51,LP001974,Y,Female,No,"Qureshi Square, New Delhi",0,Graduate,No,5000,0,132,360,1,Rural
52,LP002068,Y,Male,No,"Qureshi Square, New Delhi",0,Graduate,No,4917,0,130,360,0,Rural
53,LP001038,N,Male,Yes,"Qureshi Square, New Delhi",0,Not Graduate,No,4887,0,133,360,1,Rural
54,LP001653,Y,Male,No,"Qureshi Square, New Delhi",0,Not Graduate,No,4885,0,48,360,1,Rural
55,LP001097,N,Male,No,"Qureshi Square, New Delhi",1,Graduate,Yes,4692,0,106,360,1,Rural
56,LP002434,Y,Male,Yes,"Qureshi Square, New Delhi",2,Not Graduate,No,4652,0,110,360,1,Rural
57,LP002367,N,Female,No,"Qureshi Square, New Delhi",1,Not Graduate,No,4606,0,81,360,1,Rural
58,LP001003,N,Male,Yes,"Qureshi Square, New Delhi",1,Graduate,No,4583,1508,128,360,1,Rural
59,LP001489,N,Female,Yes,"Vikasnagar, New Delhi",0,Graduate,No,4583,0,84,360,1,Rural
60,LP001577,N,Female,Yes,"Vikasnagar, New Delhi",0,Graduate,No,4583,0,112,360,1,Rural
61,LP002472,Y,Male,No,"Vikasnagar, New Delhi",2,Graduate,No,4354,0,136,360,1,Rural
62,LP002534,Y,Female,No,"Vikasnagar, New Delhi",0,Not Graduate,No,4350,0,154,360,1,Rural
63,LP001439,Y,Male,Yes,"Vikasnagar, New Delhi",0,Not Graduate,No,4300,2014,194,360,1,Rural
64,LP002912,N,Male,Yes,"Vikasnagar, New Delhi",1,Graduate,No,4283,3000,172,84,1,Rural
65,LP001493,N,Male,Yes,"Vikasnagar, New Delhi",2,Not Graduate,No,4200,1430,129,360,1,Rural
66,LP001664,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,4191,0,120,360,1,Rural
67,LP001570,Y,Male,Yes,"Vikasnagar, New Delhi",2,Graduate,No,4167,1447,158,360,1,Rural
68,LP002979,Y,Male,Yes,"Vikasnagar, New Delhi",3,Graduate,No,4106,0,40,180,1,Rural
69,LP001875,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,4095,3447,151,360,1,Rural
70,LP001978,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,4000,2500,140,360,1,Rural
71,LP002964,Y,Male,Yes,"Vikasnagar, New Delhi",2,Not Graduate,No,3987,1411,157,360,1,Rural
72,LP001698,Y,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3975,2531,55,360,1,Rural
73,LP002448,N,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3948,1733,149,360,0,Rural
74,LP002284,Y,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3902,1666,109,360,1,Rural
75,LP002936,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3859,3300,142,180,1,Rural
76,LP002940,Y,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3833,0,110,360,1,Rural
77,LP001790,Y,Female,No,"Vikasnagar, New Delhi",1,Graduate,No,3812,0,112,360,1,Rural
78,LP001993,Y,Female,No,"Vikasnagar, New Delhi",0,Graduate,No,3762,1666,135,360,1,Rural
79,LP001926,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3704,2000,120,360,1,Rural
80,LP002571,Y,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3691,0,110,360,1,Rural
81,LP002958,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,3676,4301,172,360,1,Rural
82,LP002637,N,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3598,1287,100,360,1,Rural
83,LP002585,N,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3597,2157,119,360,0,Rural
84,LP002789,N,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3593,4266,132,180,0,Rural
85,LP002723,N,Male,No,"Vikasnagar, New Delhi",2,Graduate,No,3588,0,110,360,0,Rural
86,LP002545,N,Male,No,"Vikasnagar, New Delhi",2,Graduate,No,3547,0,80,360,0,Rural
87,LP001586,N,Male,Yes,"Vikasnagar, New Delhi",3,Not Graduate,No,3522,0,81,180,1,Rural
88,LP002622,Y,Male,Yes,"Vikasnagar, New Delhi",2,Graduate,No,3510,4416,243,360,1,Rural
89,LP001606,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3497,1964,116,360,1,Rural
90,LP002429,Y,Male,Yes,"Vikasnagar, New Delhi",1,Graduate,Yes,3466,1210,130,360,1,Rural
91,LP002659,Y,Male,Yes,"Vikasnagar, New Delhi",3,Graduate,No,3466,3428,150,360,1,Rural
92,LP002684,N,Female,No,"Vikasnagar, New Delhi",0,Not Graduate,No,3400,0,95,360,1,Rural
93,LP002837,N,Male,Yes,"Vikasnagar, New Delhi",3,Graduate,No,3400,2500,123,360,0,Rural
94,LP001197,N,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3366,2200,135,360,1,Rural
95,LP002443,N,Male,Yes,"Vikasnagar, New Delhi",2,Graduate,No,3340,1710,150,360,0,Rural
96,LP001751,N,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3250,0,170,360,1,Rural
97,LP002974,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3232,1950,108,360,1,Rural
98,LP001924,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,3158,3053,89,360,1,Rural
99,LP002536,Y,Male,Yes,"Vikasnagar, New Delhi",3,Not Graduate,No,3095,0,113,360,1,Rural
100,LP001846,Y,Female,No,"Vikasnagar, New Delhi",3,Graduate,No,3083,0,255,360,1,Rural
101,LP001936,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3075,2416,139,360,1,Rural
102,LP002487,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,3015,2188,153,360,1,Rural
103,LP002369,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,2920,16,87,360,1,Rural
104,LP002739,N,Male,Yes,"Vikasnagar, New Delhi",0,Not Graduate,No,2917,536,66,360,1,Rural
105,LP002978,Y,Female,No,"Vikasnagar, New Delhi",0,Graduate,No,2900,0,71,360,1,Rural
106,LP001892,Y,Male,No,"Vikasnagar, New Delhi",0,Graduate,No,2833,1857,126,360,1,Rural
107,LP002911,N,Male,Yes,"Vikasnagar, New Delhi",1,Graduate,No,2787,1917,146,360,0,Rural
108,LP002777,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,2785,2016,110,360,1,Rural
109,LP002767,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,2768,1950,155,360,1,Rural
110,LP002296,N,Male,No,"Vikasnagar, New Delhi",0,Not Graduate,No,2755,0,65,300,1,Rural
111,LP002141,Y,Male,Yes,"Vikasnagar, New Delhi",3,Graduate,No,2666,2083,95,360,1,Rural
112,LP002366,Y,Male,Yes,"Vikasnagar, New Delhi",0,Graduate,No,2666,4300,121,360,1,Rural
113,LP002517,N,Male,Yes,"Vikasnagar, New Delhi",1,Not Graduate,No,2653,1500,113,180,0,Rural
114,LP002115,N,Male,Yes,"Vikasnagar, New Delhi",3,Not Graduate,No,2647,1587,173,360,1,Rural
115,LP002138,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Graduate,No,2625,6250,187,360,1,Rural
116,LP001207,N,Male,Yes,"Amit Enclave, Gurgaon",0,Not Graduate,Yes,2609,3449,165,180,0,Rural
117,LP002587,Y,Male,Yes,"Amit Enclave, Gurgaon",0,Not Graduate,No,2600,1700,107,360,1,Rural
